title,company,location,link,logo,search_keywords,search_location
Software Engineering Internship - X Delivery,Boston Consulting Group (BCG),"Casablanca, Casablanca-Settat, Morocco",https://ma.linkedin.com/jobs/view/software-engineering-internship-x-delivery-at-boston-consulting-group-bcg-4297887682,https://media.licdn.com/dms/image/v2/D4E0BAQE_RmtwzBSpAg/company-logo_100_100/company-logo_100_100/0/1702568604682/boston_consulting_group_logo?e=2147483647&v=beta&t=jtS_4p6TQ-8pD8IeEdOD3rkgizt17VDQeZ68vp9LoZg,data science internship,Morocco
IT & Data Analyst INTERN,Smollan,Casablanca Metropolitan Area,https://ma.linkedin.com/jobs/view/it-data-analyst-intern-at-smollan-3989957373,https://media.licdn.com/dms/image/v2/C4D0BAQE1mCFgvs67IA/company-logo_100_100/company-logo_100_100/0/1664191069503/smollan_group_logo?e=2147483647&v=beta&t=VCGn-KUuJ0SEidGZxXeWqU-_Y14S9K1yhQQ-tEtge3E,data science internship,Morocco
Data Analyst Intern - X Delivery,Boston Consulting Group (BCG),"Casablanca, Casablanca-Settat, Morocco",https://ma.linkedin.com/jobs/view/data-analyst-intern-x-delivery-at-boston-consulting-group-bcg-4205211831,https://media.licdn.com/dms/image/v2/D4E0BAQE_RmtwzBSpAg/company-logo_100_100/company-logo_100_100/0/1702568604682/boston_consulting_group_logo?e=2147483647&v=beta&t=jtS_4p6TQ-8pD8IeEdOD3rkgizt17VDQeZ68vp9LoZg,data science internship,Morocco
Hub Operations Intern,ALX South Africa,"Casablanca, Casablanca-Settat, Morocco",https://ma.linkedin.com/jobs/view/hub-operations-intern-at-alx-south-africa-4314636858,https://media.licdn.com/dms/image/v2/D560BAQH8jPq9AkUVyg/company-logo_100_100/company-logo_100_100/0/1686468942484?e=2147483647&v=beta&t=xfCvi4SKyZHGuDqmUwsxrFn1rwCldidVpDBUURZmgIk,data science internship,Morocco
"Business Development Intern (Starting January 2026, for current students graduating in 2026)",Visa,"Mechouar, Casablanca-Settat, Morocco",https://ma.linkedin.com/jobs/view/business-development-intern-starting-january-2026-for-current-students-graduating-in-2026-at-visa-4298873902,https://media.licdn.com/dms/image/v2/D4E0BAQHAxoD4chKrgg/company-logo_100_100/B4EZfR2e4JHcAk-/0/1751572410148/visa_logo?e=2147483647&v=beta&t=mZYikLJ1nOM9RYXsRYavU2c7xuzCKWDqH8Q0UzAGrhw,data science internship,Morocco
Software Engineering Intern (PFE),Y STRATEGIE,"Casablanca, Casablanca-Settat, Morocco",https://ma.linkedin.com/jobs/view/software-engineering-intern-pfe-at-y-strategie-4304055296,https://media.licdn.com/dms/image/v2/C4D0BAQEU8wp9XWB3ow/company-logo_100_100/company-logo_100_100/0/1670408722377/y_strategie_logo?e=2147483647&v=beta&t=BNd4wDAegorGOVL8wwIrH89mOrYVKROoTABOkGBopew,machine learning internship,Morocco
Stagiaire PFE DATA / IA / BI (H/F),Deloitte,"Mechouar, Casablanca-Settat, Morocco",https://ma.linkedin.com/jobs/view/stagiaire-pfe-data-ia-bi-h-f-at-deloitte-4307030761,https://media.licdn.com/dms/image/v2/C560BAQGNtpblgQpJoQ/company-logo_100_100/company-logo_100_100/0/1662120928214/deloitte_logo?e=2147483647&v=beta&t=OSF8M5LreT0Sf2F-JcNk6XMT0ArCuPfDmRR-knCC4HY,stage science des données,Morocco
Internship - Data Analyst Assistant (H/F),Moët Hennessy,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/internship-data-analyst-assistant-h-f-at-mo%C3%ABt-hennessy-4304576287,https://media.licdn.com/dms/image/v2/C560BAQEvYWILo11_Xw/company-logo_100_100/company-logo_100_100/0/1630647400372/moethennessy_logo?e=2147483647&v=beta&t=Aojhtrnw4jHLLCoNzs8pRhgiKzzo4CmWvd7_3WFe7YQ,data engineering internship,France
Internship - Data Analyst Assistant TR (H/F),Moët Hennessy,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/internship-data-analyst-assistant-tr-h-f-at-mo%C3%ABt-hennessy-4315246240,https://media.licdn.com/dms/image/v2/C560BAQEvYWILo11_Xw/company-logo_100_100/company-logo_100_100/0/1630647400372/moethennessy_logo?e=2147483647&v=beta&t=Aojhtrnw4jHLLCoNzs8pRhgiKzzo4CmWvd7_3WFe7YQ,data engineering internship,France
6-month internships - DATA - January or March 2026 - 1700€,L'Oréal,"Clichy, Île-de-France, France",https://fr.linkedin.com/jobs/view/6-month-internships-data-january-or-march-2026-1700%E2%82%AC-at-l-or%C3%A9al-4317486079,https://media.licdn.com/dms/image/v2/D4E0BAQFEB_g-FWxSrQ/company-logo_100_100/company-logo_100_100/0/1688397792617/loral_logo?e=2147483647&v=beta&t=uaVbqC1juHcoWguipnV67wRtYlmlKirBnL8NgSIHnyU,data engineering internship,France
Data Analyst internship,Procter & Gamble,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/data-analyst-internship-at-procter-gamble-4304649935,https://media.licdn.com/dms/image/v2/D560BAQEI1MYhkkqixQ/company-logo_100_100/B56ZcYR97xGsAM-/0/1748459053801/procter_and_gamble_logo?e=2147483647&v=beta&t=5FzP2eYZE1kLQhI7oqauxCcS6lhJmyz8OhOT5ttHIlE,data engineering internship,France
Data Analyst Intern,Joko,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/data-analyst-intern-at-joko-4311158799,https://media.licdn.com/dms/image/v2/C4E0BAQHQjoMwGfeSzQ/company-logo_100_100/company-logo_100_100/0/1656673817265/jokoapp_logo?e=2147483647&v=beta&t=pu4uYS_nw1GKPF6z9bEsKoIWY56FJff-AESebpX3YSY,data engineering internship,France
Internship - Data collection - ML (H/F),Withings,"Issy-les-Moulineaux, Île-de-France, France",https://fr.linkedin.com/jobs/view/internship-data-collection-ml-h-f-at-withings-4310211664,https://media.licdn.com/dms/image/v2/D4E0BAQG9xgSOTRGy2g/company-logo_100_100/company-logo_100_100/0/1681803337975/withings_logo?e=2147483647&v=beta&t=SCb6VtuXovkAmjZ6Ya8DMlAIdHEvZcmUYMOgciCVtyI,data engineering internship,France
"Internship, Data Engineering",Qube Research & Technologies,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/internship-data-engineering-at-qube-research-technologies-4310891678,https://media.licdn.com/dms/image/v2/C4E0BAQEUECsLWfg0Hg/company-logo_100_100/company-logo_100_100/0/1635758716096/qube_rt_logo?e=2147483647&v=beta&t=-mi67QQbOCmIn67lgwFLTTNEoVNvaNacbyMsepi7-_g,data engineering internship,France
Data Analyst Internship - Strategic Partnerships m/f/d,Deezer,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/data-analyst-internship-strategic-partnerships-m-f-d-at-deezer-4304988184,https://media.licdn.com/dms/image/v2/D4D0BAQGxr7R2V6QvTg/company-logo_100_100/company-logo_100_100/0/1699380258796/deezer_logo?e=2147483647&v=beta&t=tIlsBSxLAG6NyH_an26Xc3xqULhjytfzpN1KT5zYRTU,data engineering internship,France
